amount_purchased_shop_1,amount_purchased_shop_2,amount_purchased_shop_3,amount_purchased_shop_4,amount_purchased_shop_5,clusters
463.114,3404.068,0.0,0.0,0.0,2
3824.431,994.677,3600.24,0.0,0.0,4
2511.548,29.913,3713.4722,0.0,1264.549,4
722.298,0.0,0.0,0.0,4651.597,3
0.0,0.0,0.0,1079.349,0.0,2
0.0,89.745,0.0,0.0,146.998,2
1421.362,209.998,0.0,0.0,0.0,2
1333.147,10884.897,0.0,0.0,0.0,0
99.661,0.0,157.235,0.0,10.665,2
583.454,0.0,0.0,0.0,0.0,1
52.01,0.0,0.0,0.0,959.774,2
5.623,0.0,0.0,0.0,684.285,2
0.0,31.369,0.0,0.0,130.721,2
0.0,358.601,0.0,0.0,0.0,2
0.0,28.709,0.0,0.0,0.0,2
2617.03,32.171,7.458,0.0,0.0,2
941.568,14646.818,0.0,0.0,0.0,0
11700.725,352.652,2.126,6.609,0.0,6
158.838,3.383,0.0,0.0,0.0,2
3765.437,136.907,0.713,0.0,49.439,2
17.384,30.541,6543.204,0.0,0.0,4
453.97,12863.767,5.19,0.0,0.0,0
1578.908,5016.668,140.452,0.822,0.0,0
363.063,0.0,0.0,61.325,0.0,2
82.692,222.9,0.0,0.0,503.84,2
0.0,24.902,0.0,0.0,0.0,2
60.672,0.0,0.0,91.626,0.0,2
1706.493,959.57,3342.655,0.0,13.221,4
1948.594,1106.28,0.0,0.0,0.0,2
22.352,0.0,805.193,0.0,27.377,2
9724.102,0.0,0.0,141.938,0.0,6
0.0,0.0,0.0,44.885,0.0,2
0.0,598.025,0.0,0.0,0.0,2
9.846,24.641,9.163,418.016,0.0,2
179.313,11447.299,23.373,0.0,0.0,0
0.0,0.0,2.555,0.0,0.0,2
0.0,0.0,0.0,9.285,0.0,2
434.325,1000.006,0.0,0.0,0.0,2
90.901,28.078,0.0,0.0,0.0,2
9051.052,0.0,0.0,0.0,49.014,6
5.255,91.599,0.0,0.0,0.0,2
121.099,657.91,458.489,0.0,0.0,2
4547.489,3991.292,35.202,0.0,21.324,1
124.917,5024.224,9.387,0.0,0.0,0
412.442,15748.086,10.207,13.15,5.426,0
0.0,1787.709,0.0,0.0,0.0,2
10.77,0.0,54.799,0.0,0.0,2
5107.4683,313.009,8995.266,0.0,61.55,4
426.14,665.683,6585.97,0.0,0.0,4
60.524,6291.8438,0.0,0.0,0.0,0
427.032,5.503,0.0,203.708,0.0,2
193.616,0.0,0.0,0.0,0.0,2
13633.611,4855.705,0.0,0.0,0.0,1
1722.385,0.0,530.998,58.746002,0.0,2
286.697,0.0,0.0,71.802,7526.228,3
444.68,22431.834,0.0,0.0,0.0,0
0.0,0.0,5.766,0.0,0.0,2
128.172,0.0,0.0,0.0,0.0,2
195.378,37.717,0.0,5224.196,0.0,5
50.136,66.875,0.0,0.0,0.0,2
4091.898,19123.393,0.0,0.0,22.548,0
21857.682,67.983,0.0,0.0,26.677,6
741.298,24.874,599.968,0.0,20.043,2
16.573,794.648,0.0,0.0,0.0,2
0.0,1220.434,0.0,0.0,0.0,1
671.404,13877.643,0.0,0.0,0.0,0
180.545,246.675,0.0,0.0,0.0,2
2625.392,11587.38,0.0,0.0,0.0,0
0.0,20.753,0.0,0.0,0.0,2
1272.747,616.71,0.0,0.0,0.0,2
2825.319,208.584,20.97,0.0,66.47,2
7898.506,204.462,0.0,38.375,95.879,6
6449.139,6964.081,0.0,0.0,0.0,0
319.887,846.321,0.0,0.0,0.0,2
94.615,944.682,0.0,0.0,0.0,2
0.0,0.0,69.312,0.0,0.0,2
306.519,1668.184,0.0,717.68,0.0,2
